crop_key,area,item,element,year,unit,value,flag,note
garlic,Bangladesh,Green garlic,Area harvested,2022,ha,72211.000000,A,
garlic,Bangladesh,Green garlic,Area harvested,2023,ha,71706.000000,A,
garlic,Bangladesh,Green garlic,Area harvested,2024,ha,70625.000000,A,
garlic,Bangladesh,Green garlic,Production,2022,t,526819.000000,A,
garlic,Bangladesh,Green garlic,Production,2023,t,548907.000000,A,
garlic,Bangladesh,Green garlic,Production,2024,t,527665.000000,A,
garlic,Bangladesh,Green garlic,Yield,2022,kg/ha,7295.600000,A,
garlic,Bangladesh,Green garlic,Yield,2023,kg/ha,7655.000000,A,
garlic,Bangladesh,Green garlic,Yield,2024,kg/ha,7471.400000,A,
ginger,Bangladesh,"Ginger, raw",Area harvested,2022,ha,10429.000000,A,
ginger,Bangladesh,"Ginger, raw",Area harvested,2023,ha,10399.000000,A,
ginger,Bangladesh,"Ginger, raw",Area harvested,2024,ha,10388.000000,A,
ginger,Bangladesh,"Ginger, raw",Production,2022,t,82152.000000,A,
ginger,Bangladesh,"Ginger, raw",Production,2023,t,83726.000000,A,
ginger,Bangladesh,"Ginger, raw",Production,2024,t,83175.000000,A,
ginger,Bangladesh,"Ginger, raw",Yield,2022,kg/ha,7877.300000,A,
ginger,Bangladesh,"Ginger, raw",Yield,2023,kg/ha,8051.400000,A,
ginger,Bangladesh,"Ginger, raw",Yield,2024,kg/ha,8006.800000,A,
lentil,Bangladesh,"Lentils, dry",Area harvested,2022,ha,144454.000000,A,
lentil,Bangladesh,"Lentils, dry",Area harvested,2023,ha,135396.000000,A,
lentil,Bangladesh,"Lentils, dry",Area harvested,2024,ha,124892.000000,A,
lentil,Bangladesh,"Lentils, dry",Production,2022,t,190743.000000,A,
lentil,Bangladesh,"Lentils, dry",Production,2023,t,196829.000000,A,
lentil,Bangladesh,"Lentils, dry",Production,2024,t,184819.000000,A,
lentil,Bangladesh,"Lentils, dry",Yield,2022,kg/ha,1320.400000,A,
lentil,Bangladesh,"Lentils, dry",Yield,2023,kg/ha,1453.700000,A,
lentil,Bangladesh,"Lentils, dry",Yield,2024,kg/ha,1479.800000,A,
maize,Bangladesh,Maize (corn),Area harvested,2022,ha,478227.000000,A,
maize,Bangladesh,Maize (corn),Area harvested,2023,ha,496882.000000,A,
maize,Bangladesh,Maize (corn),Area harvested,2024,ha,496681.000000,A,
maize,Bangladesh,Maize (corn),Production,2022,t,4261845.000000,A,
maize,Bangladesh,Maize (corn),Production,2023,t,4592507.000000,A,
maize,Bangladesh,Maize (corn),Production,2024,t,4592508.000000,A,
maize,Bangladesh,Maize (corn),Yield,2022,kg/ha,8911.800000,A,
maize,Bangladesh,Maize (corn),Yield,2023,kg/ha,9242.700000,A,
maize,Bangladesh,Maize (corn),Yield,2024,kg/ha,9246.400000,A,
mustard_rapeseed,Bangladesh,Rape or colza seed,Area harvested,2022,ha,330730.000000,A,
mustard_rapeseed,Bangladesh,Rape or colza seed,Area harvested,2023,ha,383251.000000,A,
mustard_rapeseed,Bangladesh,Rape or colza seed,Area harvested,2024,ha,462996.000000,A,
mustard_rapeseed,Bangladesh,Rape or colza seed,Production,2022,t,409659.000000,A,
mustard_rapeseed,Bangladesh,Rape or colza seed,Production,2023,t,547425.000000,A,
mustard_rapeseed,Bangladesh,Rape or colza seed,Production,2024,t,637745.000000,A,
mustard_rapeseed,Bangladesh,Rape or colza seed,Yield,2022,kg/ha,1238.700000,A,
mustard_rapeseed,Bangladesh,Rape or colza seed,Yield,2023,kg/ha,1428.400000,A,
mustard_rapeseed,Bangladesh,Rape or colza seed,Yield,2024,kg/ha,1377.400000,A,
onion,Bangladesh,"Onions and shallots, dry (excluding dehydrated)",Area harvested,2022,ha,205405.000000,A,
onion,Bangladesh,"Onions and shallots, dry (excluding dehydrated)",Area harvested,2023,ha,203606.000000,A,
onion,Bangladesh,"Onions and shallots, dry (excluding dehydrated)",Area harvested,2024,ha,207822.000000,A,
onion,Bangladesh,"Onions and shallots, dry (excluding dehydrated)",Production,2022,t,2517070.000000,A,
onion,Bangladesh,"Onions and shallots, dry (excluding dehydrated)",Production,2023,t,2546994.000000,A,
onion,Bangladesh,"Onions and shallots, dry (excluding dehydrated)",Production,2024,t,2917354.000000,A,
onion,Bangladesh,"Onions and shallots, dry (excluding dehydrated)",Yield,2022,kg/ha,12254.200000,A,
onion,Bangladesh,"Onions and shallots, dry (excluding dehydrated)",Yield,2023,kg/ha,12509.400000,A,
onion,Bangladesh,"Onions and shallots, dry (excluding dehydrated)",Yield,2024,kg/ha,14037.800000,A,
soybean,Bangladesh,Soya beans,Area harvested,2022,ha,58564.000000,A,
soybean,Bangladesh,Soya beans,Area harvested,2023,ha,58940.000000,A,
soybean,Bangladesh,Soya beans,Area harvested,2024,ha,57212.000000,A,
soybean,Bangladesh,Soya beans,Production,2022,t,98646.000000,A,
soybean,Bangladesh,Soya beans,Production,2023,t,107307.000000,A,
soybean,Bangladesh,Soya beans,Production,2024,t,106833.000000,A,
soybean,Bangladesh,Soya beans,Yield,2022,kg/ha,1684.400000,A,
soybean,Bangladesh,Soya beans,Yield,2023,kg/ha,1820.600000,A,
soybean,Bangladesh,Soya beans,Yield,2024,kg/ha,1867.300000,A,
wheat,Bangladesh,Wheat,Area harvested,2022,ha,314738.000000,A,
wheat,Bangladesh,Wheat,Area harvested,2023,ha,316832.000000,A,
wheat,Bangladesh,Wheat,Area harvested,2024,ha,311677.000000,A,
wheat,Bangladesh,Wheat,Production,2022,t,1085834.000000,A,
wheat,Bangladesh,Wheat,Production,2023,t,1107195.000000,A,
wheat,Bangladesh,Wheat,Production,2024,t,1172242.000000,A,
wheat,Bangladesh,Wheat,Yield,2022,kg/ha,3450.000000,A,
wheat,Bangladesh,Wheat,Yield,2023,kg/ha,3494.600000,A,
wheat,Bangladesh,Wheat,Yield,2024,kg/ha,3761.100000,A,
