publisher,dataset_or_report,coverage,source_url,local_file
FAOSTAT,Production - Crops and livestock products,1961-2024 global bulk data,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,raw/faostat_production_crops_livestock_normalized.zip
FAOSTAT,Trade - Crops and livestock products,1961-2024 global bulk data,https://bulks-faostat.fao.org/production/Trade_CropsLivestock_E_All_Data_(Normalized).zip,raw/faostat_trade_crops_livestock_normalized.zip
Bangladesh Bureau of Statistics,Year Book of Agricultural Statistics 2025,Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2026/5/cfb80ec8-1c7f-4632-8a59-7649b6ac7ffe.pdf,docs/bbs_agricultural_yearbook_2025.pdf
Bangladesh Bureau of Statistics,Year Book of Agricultural Statistics 2024,Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/58f325576f9a47cc91e7d227e336e40f.pdf,docs/bbs_agricultural_yearbook_2024.pdf
Bangladesh Bureau of Statistics,Year Book of Agricultural Statistics 2023,Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/d09f33a6167a46fd980e5797749de63d.pdf,docs/bbs_agricultural_yearbook_2023.pdf
Bangladesh Bureau of Statistics,Year Book of Agricultural Statistics 2022,Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/85216bc379fa443e837ffac3052a45dc.pdf,docs/bbs_agricultural_yearbook_2022.pdf
Bangladesh Bank,Commodity-wise import statistics,Latest monthly/fiscal table,https://www.bb.org.bd/en/index.php/econdata/bop_imp_statistics,docs/bangladesh_bank_commodity_imports.html
Bangladesh Bank,Bangladesh Bank Quarterly July-September 2024,FY23-FY25 crop production and macro tables,https://www.bb.org.bd/pub/quaterly/bbquarterly/bangladesh%20bank%20quarterly%20(july-september%202024)%20vol%20xxii%20no%201.pdf,docs/bangladesh_bank_quarterly_2024_q1.pdf
USDA Foreign Agricultural Service,Oilseeds and Products Annual Bangladesh 2025,MY2023/24-MY2025/26,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Oilseeds%20and%20Products%20Annual_Dhaka_Bangladesh_BG2025-0002.pdf,docs/usda_oilseeds_bangladesh_2025.pdf
USDA Foreign Agricultural Service,Grain and Feed Update Bangladesh 2024,MY2023/24-MY2024/25,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Grain%20and%20Feed%20Update_Dhaka_Bangladesh_BG2024-0009.pdf,docs/usda_grain_feed_bangladesh_2024.pdf
Centre for Policy Dialogue,State of the Bangladesh Economy in FY2024,FY2020-FY2024,https://cpd.org.bd/resources/2024/06/Paper-IRBD-FY24-3rd-Reading.pdf,docs/cpd_state_bangladesh_economy_fy2024.pdf
