crop,year,area_acres,yield_kg_per_acre,production_metric_tons
chili_total,2020,,,493000.0
chili_total,2021,,,625000.0
chili_total,2022,,,662000.0
chili_total,2023,,,748000.0
chili_total,2024,,,728000.0
coconut,2022,,,404000.0
coconut,2023,,,400000.0
coconut,2024,,,398000.0
garlic,2019,,,485000.0
garlic,2020,,,502000.0
garlic,2021,,,527000.0
garlic,2022,,,549000.0
garlic,2023,,,528000.0
garlic,2024,,,566000.0
ginger,2019,,,85000.0
ginger,2020,,,82000.0
ginger,2021,,,82000.0
ginger,2022,,,84000.0
ginger,2023,,,83000.0
ginger,2024,,,84000.0
groundnut,2019,,,61000.0
groundnut,2020,,,67000.0
groundnut,2021,,,75000.0
groundnut,2022,,,75000.0
groundnut,2023,,,75000.0
groundnut,2024,,,82000.0
jute,2022,,,8458000.0
jute,2023,,,9581000.0
jute,2024,,,8953000.0
lentil_masur,2020,,,186000.0
lentil_masur,2021,,,191000.0
lentil_masur,2022,,,197000.0
lentil_masur,2023,,,185000.0
lentil_masur,2024,,,168000.0
maize,2020,,,4116000.0
maize,2021,,,4262000.0
maize,2022,,,4563000.0
maize,2023,,,4876000.0
maize,2024,,,5505000.0
mustard,2019,,,358000.0
mustard,2020,,,397000.0
mustard,2021,,,410000.0
mustard,2022,,,547000.0
mustard,2023,,,638000.0
mustard,2024,,,644000.0
onion,2019,,,1954000.0
onion,2020,,,2269000.0
onion,2021,,,2517000.0
onion,2022,,,2547000.0
onion,2023,,,2917000.0
onion,2024,,,3221000.0
potato,2019,,,9606000.0
potato,2020,,,9887000.0
potato,2021,,,10145000.0
potato,2022,,,10432000.0
potato,2023,,,10601000.0
potato,2024,,,11573000.0
rice_aus,2020,,,3285000.0
rice_aus,2021,,,3000000.0
rice_aus,2022,,,2901000.0
rice_aus,2023,,,2973000.0
rice_aus,2024,,,2793000.0
rice_boro,2020,,,19885000.0
rice_boro,2021,,,20186000.0
rice_boro,2022,,,20768000.0
rice_boro,2023,,,21068000.0
rice_boro,2024,,,21322000.0
rice_total,2020,,,37608000.0
rice_total,2022,,,39095000.0
rice_total,2023,,,40697000.0
rice_total,2024,,,40630000.0
soybean,2019,,,105000.0
soybean,2020,,,91000.0
soybean,2021,,,99000.0
soybean,2022,,,107000.0
soybean,2023,,,107000.0
soybean,2024,,,108000.0
sugarcane,2019,,,3683000.0
sugarcane,2020,,,3333000.0
sugarcane,2021,,,3087000.0
sugarcane,2022,,,2982000.0
sugarcane,2023,,,2934000.0
tea,2019,,,90000.0
tea,2020,,,90000.0
tea,2021,,,98000.0
tea,2022,,,93000.0
tea,2023,,,101000.0
tea,2024,,,91000.0
tomato,2019,,,415000.0
tomato,2020,,,448000.0
tomato,2021,,,442000.0
tomato,2022,,,469000.0
tomato,2023,,,491000.0
tomato,2024,,,539000.0
wheat,2020,,,1085000.0
wheat,2021,,,1086000.0
wheat,2022,,,1170000.0
wheat,2023,,,1172000.0
wheat,2024,,,1041000.0
