crop,year,yield_kg_per_acre,source
chili_total,2020,3941.0,BBS Yearbook
chili_total,2021,2571.0,BBS Yearbook
chili_total,2022,2758.33,BBS Yearbook
chili_total,2023,3065.57,BBS Yearbook
chili_total,2024,3021.0,BBS Yearbook
coconut,2022,5399.0,BBS Yearbook
coconut,2023,6156.0,BBS Yearbook
coconut,2024,6478.0,BBS Yearbook
garlic,2019,2670.5,BBS Yearbook
garlic,2020,2786.0,BBS Yearbook
garlic,2021,2952.43,BBS Yearbook
garlic,2022,3099.16,BBS Yearbook
garlic,2023,3023.6,BBS Yearbook
garlic,2024,3242.0,BBS Yearbook
ginger,2019,3333.9,BBS Yearbook
ginger,2020,3217.0,BBS Yearbook
ginger,2021,3187.87,BBS Yearbook
ginger,2022,3259.39,BBS Yearbook
ginger,2023,3240.38,BBS Yearbook
ginger,2024,3264.0,BBS Yearbook
groundnut,2019,754.0,BBS Yearbook
groundnut,2020,779.0,BBS Yearbook
groundnut,2021,751.0,BBS Yearbook
groundnut,2022,766.0,BBS Yearbook
groundnut,2023,780.0,BBS Yearbook
groundnut,2024,764.0,BBS Yearbook
jute,2022,4.69,BBS Yearbook
jute,2023,5.36,BBS Yearbook
jute,2024,5.22,BBS Yearbook
lentil_masur,2020,514.0,BBS Yearbook
lentil_masur,2021,534.38,BBS Yearbook
lentil_masur,2022,588.55,BBS Yearbook
lentil_masur,2023,598.88,BBS Yearbook
lentil_masur,2024,562.0,BBS Yearbook
maize,2020,3471.0,BBS Yearbook
maize,2021,3605.0,BBS Yearbook
maize,2022,3718.0,BBS Yearbook
maize,2023,3833.03,BBS Yearbook
maize,2024,4130.88,BBS Yearbook
mustard,2019,469.0,BBS Yearbook
mustard,2020,487.0,BBS Yearbook
mustard,2021,501.27,BBS Yearbook
mustard,2022,578.29,BBS Yearbook
mustard,2023,557.44,BBS Yearbook
mustard,2024,572.0,BBS Yearbook
onion,2019,4268.0,BBS Yearbook
onion,2020,4725.0,BBS Yearbook
onion,2021,4959.19,BBS Yearbook
onion,2022,5064.52,BBS Yearbook
onion,2023,5681.01,BBS Yearbook
onion,2024,6015.0,BBS Yearbook
potato,2019,8421.0,BBS Yearbook
potato,2020,8538.0,BBS Yearbook
potato,2021,8844.0,BBS Yearbook
potato,2022,9272.0,BBS Yearbook
potato,2023,9355.0,BBS Yearbook
potato,2024,9470.0,BBS Yearbook
rice_aus,2020,1018.0,BBS Yearbook
rice_aus,2021,1047.0,BBS Yearbook
rice_aus,2022,1106.0,BBS Yearbook
rice_aus,2023,1162.0,BBS Yearbook
rice_aus,2024,1178.0,BBS Yearbook
rice_boro,2020,1681.0,BBS Yearbook
rice_boro,2021,1697.0,BBS Yearbook
rice_boro,2022,1732.0,BBS Yearbook
rice_boro,2023,1748.0,BBS Yearbook
rice_boro,2024,1765.0,BBS Yearbook
rice_total,2020,1301.0,BBS Yearbook
rice_total,2022,1362.0,BBS Yearbook
rice_total,2023,1412.0,BBS Yearbook
rice_total,2024,1435.0,BBS Yearbook
soybean,2019,692.0,BBS Yearbook
soybean,2020,640.0,BBS Yearbook
soybean,2021,681.67,BBS Yearbook
soybean,2022,737.09,BBS Yearbook
soybean,2023,755.69,BBS Yearbook
soybean,2024,760.0,BBS Yearbook
sugarcane,2019,17282.0,BBS Yearbook
sugarcane,2020,17328.0,BBS Yearbook
sugarcane,2021,17290.57,BBS Yearbook
sugarcane,2022,17311.21,BBS Yearbook
sugarcane,2023,17530.78,BBS Yearbook
tea,2019,613.07,BBS Yearbook
tea,2020,665.0,BBS Yearbook
tea,2021,701.18,BBS Yearbook
tea,2022,659.39,BBS Yearbook
tea,2023,693.34,BBS Yearbook
tea,2024,615.0,BBS Yearbook
tomato,2019,5897.0,BBS Yearbook
tomato,2020,6144.0,BBS Yearbook
tomato,2021,6046.35,BBS Yearbook
tomato,2022,6098.07,BBS Yearbook
tomato,2023,6393.23,BBS Yearbook
tomato,2024,7000.0,BBS Yearbook
wheat,2020,1335.0,BBS Yearbook
wheat,2021,1395.0,BBS Yearbook
wheat,2022,1494.0,BBS Yearbook
wheat,2023,1522.0,BBS Yearbook
wheat,2024,1502.0,BBS Yearbook
