crop_key,price_min,price_max,price_mid,change_pct,recorded_at
chili_green,218.0,237.0,227.5,0.0,2026-09-06
garlic_imported,192.0,204.0,198.0,0.0,2026-09-06
garlic_local,173.0,186.0,179.5,0.0,2026-09-06
ginger_imported,167.0,186.0,176.5,0.0,2026-09-06
ginger_local,154.0,174.0,164.0,0.0,2026-09-06
mung,122.0,128.0,125.0,0.0,2026-09-06
rice_aman_coarse,48.0,50.0,49.0,0.0,2026-09-06
rice_aman_fine,72.0,75.0,73.5,0.0,2026-09-06
rice_aman_medium,56.0,60.0,58.0,0.0,2026-09-06
rice_boro_coarse,47.0,49.0,48.0,0.0,2026-09-06
rice_boro_fine,66.0,70.0,68.0,0.0,2026-09-06
rice_boro_medium,55.0,57.0,56.0,0.0,2026-09-06
salt_iodized,32.0,40.0,36.0,0.0,2026-09-06
আটা (প্যাকেটজাত),58.0,61.0,59.5,0.0,2026-09-06
খামারের মুরগী,162.0,167.0,164.5,0.0,2026-09-06
খাসী,900.0,1100.0,1000.0,0.0,2026-09-06
চিনি (দেশী),132.0,135.0,133.5,0.0,2026-09-06
ছোলা - গোটা,85.0,90.0,87.5,0.0,2026-09-06
ডিম ফার্ম - লাল,47.0,48.0,47.5,0.0,2026-09-06
পেঁয়াজ - দেশী,60.0,64.0,62.0,0.0,2026-09-06
মাংসঃ– গরু,729.0,750.0,739.5,0.0,2026-09-06
সয়াবিন তেল,163.0,165.0,164.0,0.0,2026-09-06
