crop_key,label_bn,price_min,price_max,price_mid,change_pct,unit,recorded_at
chili_green,কাঁচা মরিচ,218.0,237.0,227.5,0.0,kg,2026-09-06
garlic_imported,রসুন - আমদানিকৃত,192.0,204.0,198.0,0.0,kg,2026-09-06
garlic_local,রসুন - দেশী,173.0,186.0,179.5,0.0,kg,2026-09-06
ginger_imported,আদা - আমদানিকৃত,167.0,186.0,176.5,0.0,kg,2026-09-06
ginger_local,আদা - দেশী,154.0,174.0,164.0,0.0,kg,2026-09-06
mung,মুগ ডাল,122.0,128.0,125.0,0.0,kg,2026-09-06
rice_aman_coarse,আমন চাল - মোটা,48.0,50.0,49.0,0.0,kg,2026-09-06
rice_aman_fine,আমন চাল - সরু,72.0,75.0,73.5,0.0,kg,2026-09-06
rice_aman_medium,আমন চাল - মাঝারি,56.0,60.0,58.0,0.0,kg,2026-09-06
rice_boro_coarse,বোরো চাল - মোটা,47.0,49.0,48.0,0.0,kg,2026-09-06
rice_boro_fine,বোরো চাল - সরু,66.0,70.0,68.0,0.0,kg,2026-09-06
rice_boro_medium,বোরো চাল - মাঝারি,55.0,57.0,56.0,0.0,kg,2026-09-06
salt_iodized,আয়োডিনযুক্ত লবণ (প্যাকেটজাত),32.0,40.0,36.0,0.0,kg,2026-09-06
আটা (প্যাকেটজাত),আটা (প্যাকেটজাত),58.0,61.0,59.5,0.0,kg,2026-09-06
খামারের মুরগী,খামারের মুরগী,162.0,167.0,164.5,0.0,kg,2026-09-06
খাসী,খাসী,900.0,1100.0,1000.0,0.0,kg,2026-09-06
চিনি (দেশী),চিনি (দেশী),132.0,135.0,133.5,0.0,kg,2026-09-06
ছোলা - গোটা,ছোলা - গোটা,85.0,90.0,87.5,0.0,kg,2026-09-06
ডিম ফার্ম - লাল,ডিম ফার্ম - লাল,47.0,48.0,47.5,0.0,kg,2026-09-06
পেঁয়াজ - দেশী,পেঁয়াজ - দেশী,60.0,64.0,62.0,0.0,kg,2026-09-06
মাংসঃ– গরু,মাংসঃ– গরু,729.0,750.0,739.5,0.0,kg,2026-09-06
সয়াবিন তেল,সয়াবিন তেল,163.0,165.0,164.0,0.0,kg,2026-09-06
